works_count,institution_name
1,Laboratoire de Probabilités et Modèles Aléatoires
1,Joint Research Centre
1,Argonne National Laboratory
1,University of Vienna
1,IZA - Institute of Labor Economics
1,Technical University of Munich
1,East Midlands Academic Health Science Network
1,Novartis (Switzerland)
1,Manor Hospital
1,HEC Paris
1,Public Health Foundation of India
1,Informa (United Kingdom)
1,University of Verona
1,Montanuniversität Leoben
1,Lawrence Livermore National Laboratory
1,University of Texas Institute for Geophysics
1,Clausthal University of Technology
1,St. Lawrence University
1,Berliner Hochschule für Technik
1,Lawrence Berkeley National Laboratory
1,Procter & Gamble (United States)
1,Institut Élie Cartan de Lorraine
1,Délégation Paris 5
1,University of Connecticut
1,Capital One (United States)
1,Florida International University
1,Sequoia (United States)
1,High Altitude Observatory
1,Microsoft (United States)
1,National Institute of Statistical Sciences
1,University of Milan
1,U.S. Air Force Institute of Technology
1,University of Notre Dame
1,University of St. Gallen
1,Université de Sherbrooke
1,The University of Texas Health Science Center at Houston
1,Mortimer Surgery
1,Université Toulouse-I-Capitole
1,JPMorgan Chase & Co (United States)
1,Toulouse School of Economics
1,University of Stirling
1,University of Toledo
1,Emory University
1,Centro de Investigación y Docencia Económicas
1,Indian Statistical Institute
1,Château Gombert
1,University of Rhode Island
1,Climate Central
1,Statistics Norway
1,Anhui Xinhua University
1,University of Milano-Bicocca
1,University of Saskatchewan
1,Northeast Normal University
1,American Statistical Association
1,North Central State College
1,Liverpool John Moores University
1,IBM (United States)
1,National Institute of Economic and Social Research
1,Leibniz Institute for Prevention Research and Epidemiology - BIPS
1,University of Alberta
1,University of Central Florida
1,Indiana University Indianapolis
1,AstraZeneca (United States)
1,Connecticut Department of Public Health
1,Federal Institute for Drugs and Medical Devices
1,University of Birmingham
1,Institute of Science and Technology Austria
1,Dalhousie University
1,Uppsala University
1,National Heart Lung and Blood Institute
1,Durham University
1,Instituto Tecnológico Autónomo de México
1,University of South Florida
1,Athens University of Economics and Business
1,Institute of Mathematics and Informatics
1,Czech Academy of Sciences
1,Swiss Finance Institute
1,Fordham University
1,Institute for Advanced Study
1,Battelle
1,Beijing Computing Center
1,University of Cyprus
1,Universitat Politècnica de Catalunya
1,University of Pavia
1,Université de Lorraine
1,NSF National Center for Atmospheric Research
1,Auburn University
1,Wake Forest University
1,United States Census Bureau
1,University of Stavanger
1,George Mason University
1,Norwegian Computing Center
1,SUNY Polytechnic Institute
1,Cancer Care Ontario
1,University of Bergen
1,"University at Buffalo, State University of New York"
1,Met Office
1,University of Finance and Economics
1,We Predict (United Kingdom)
1,University of Turku
1,University of Auckland
1,Microsoft Research (India)
1,University of Jyväskylä
1,Queen's University Belfast
1,Institut Mines-Télécom
1,Hong Kong Polytechnic University
1,University College Dublin
1,Tinbergen Institute
1,University of Bonn
1,Sogang University
1,Département Mathématiques et Informatique Appliquées
1,University of Sussex
1,University of Virginia
1,Novartis (United States)
1,Universidade Federal do Rio de Janeiro
1,IBM Research - Thomas J. Watson Research Center
1,Nankai University
1,"University of Maryland, Baltimore County"
1,Franklin & Marshall College
1,University of Rochester Medical Center
1,Laboratoire d'Économie des Ressources Naturelles
1,University of Tartu
1,Sorbonne Université
1,National Marrow Donor Program
1,Deutsche Bundesbank
1,GE Global Research (United States)
1,Hong Kong University of Science and Technology
1,NorthShore University HealthSystem
1,Leiden University
1,RAND Corporation
1,Linköping University
1,Institute for Advanced Study in Toulouse
1,Valparaiso University
1,Qualcomm (United States)
1,Boise State University
1,Center of Applied Ecology & Sustainability
1,Indian Institute of Management Bangalore
1,Université d'Évry Val-d'Essonne
1,Institute for Evaluation of Labour Market and Education Policy
1,Stockholm University
1,University of Augsburg
1,Tsinghua University
1,Baruch College
1,Liverpool School of Tropical Medicine
1,RWTH Aachen University
1,Universidade de Santiago de Compostela
1,Robert Morris University
1,Academy of Mathematics and Systems Science
1,University of Denver
1,University of Louisville
1,Supélec
1,Hiroshima University
1,Universidade Nova de Lisboa
1,Board of the Swiss Federal Institutes of Technology
1,Federal Reserve Board of Governors
1,Medical College of Wisconsin
1,Berkeley College
1,San Diego State University
1,New Jersey Institute of Technology
1,Max Planck Society
1,"Mathématiques, Informatique et Statistique pour l'Environnement et l'Agronomie"
1,Boston Scientific (United States)
1,University of New Brunswick
1,Boston Scientific (Netherlands)
1,Kellogg's (Canada)
1,Banco de Portugal
1,Guangzhou University
1,Oak Ridge National Laboratory
1,"Informatique, BioInformatique, Systèmes Complexes"
1,King University
1,Indian Institute of Management Calcutta
1,Japan University of Economics
1,Aix-Marseille Université
1,Macquarie University
1,Institut National des Sciences Appliquées de Toulouse
1,Johnson University
1,University of Puerto Rico-Mayaguez
1,Arizona State University
1,Einaudi Institute for Economics and Finance
1,Shenzhen University
1,Université de Technologie de Compiègne
1,Health Protection Scotland
1,Osaka University
1,Amherst College
1,UCL Australia
1,Norges Bank
1,Uniformed Services University of the Health Sciences
1,Laboratoire Jean Kuntzmann
1,University of Basilicata
1,Université Grenoble Alpes
1,Monash University
1,European University Institute
1,Pfizer (United States)
1,Western University
1,Universidad de Granada
1,University of Salford
1,Kyushu University
1,University of Iceland
1,"Czech Academy of Sciences, Institute of Mathematics"
1,University of Rome Tor Vergata
1,Bielefeld University
1,University of Otago
1,Centre for European Economic Research
1,University of Helsinki
1,Stockholm School of Economics
1,Toronto Metropolitan University
1,National Institute of Environmental Health Sciences
1,Zhejiang University
1,University of North Carolina at Charlotte
1,George Washington University
1,"National Academies of Sciences, Engineering, and Medicine"
1,Lund University
1,Universiti Sains Malaysia
1,Swedish National Bank
1,Délégation Paris 7
1,Université Paris-Sud
1,Decision Sciences (United States)
1,Universidade do Porto
1,Acadia University
1,Hôpital Necker-Enfants Malades
1,Sun Yat-sen University
1,Charles University
1,McMaster University
1,SINTEF
1,NetEase (China)
1,"University at Albany, State University of New York"
1,Delft University of Technology
1,Koç University
1,Sorbonne Paris Cité
1,Capital University
1,Erasmus MC
